Time elapsed in seconds,Controlled Lighting Units Power Usage (moving),All Lighting Units Activated Usage,Controlled Lighting Units Power Usage (Standing still)
382.5136228,87.85724487,918.1143526,72.88339909
382.6253394,87.88105826,918.3824724,72.90421189
382.7321713,87.90641777,918.638869,72.92891289
382.8409486,87.93425535,918.8975328,72.94954616
382.9607697,87.96634778,919.1875051,72.97414607
383.0796477,87.99470244,919.4728123,72.99495038
383.1983581,88.02533695,919.7577173,73.01538306
383.3177712,88.05824847,920.0443087,73.03512404
383.4323526,88.08735642,920.3193041,73.05625408
383.5434452,88.11582822,920.5859263,73.07667238
383.6571499,88.1457372,920.8588176,73.10139055
383.7582252,88.17177664,921.1013983,73.12240629
383.8777819,88.19884137,921.3883344,73.14264263
383.9745952,88.21954265,921.6206863,73.16161779
384.1049237,88.2458883,921.9334747,73.18386895
384.2167831,88.26790176,922.2019373,73.20562571
384.3346579,88.28932627,922.4848368,73.22607724
384.4483746,88.30959565,922.7577569,73.24667592
384.5671718,88.32868428,923.0428702,73.26594079
384.6779116,88.34448466,923.3086457,73.28813391
384.7906973,88.36471699,923.5793314,73.31008285
384.9094851,88.39082726,923.8644221,73.33193452
385.0239947,88.41568426,924.1392451,73.35235343
385.1466985,88.44156392,924.4313326,73.37281382
385.2626326,88.46722541,924.7095754,73.39341654
385.3854322,88.4981077,925.0066951,73.41423399
385.508352,88.53159134,925.299301,73.43674026
385.626905,88.56445357,925.5862298,73.45573278
385.7244599,88.59176874,925.8203616,73.47804737
385.8374205,88.62617109,926.091467,73.49900247
385.9503016,88.66236194,926.3623817,73.51993086
386.0682302,88.70191854,926.6454103,73.54414203
386.2022925,88.74523264,926.9671598,73.56535396
386.3160781,88.78242677,927.2402453,73.58597098
386.4439415,88.82509804,927.5471174,73.60657911
386.5556329,88.86199228,927.8151768,73.6294732
386.6714566,88.89620371,928.0931537,73.64780112
386.7822965,88.9269854,928.3591694,73.6682391
386.8912205,88.95792976,928.620587,73.69277654
386.998921,88.98787744,928.8766666,73.71475927
387.1046953,89.01481952,929.1329266,73.73555786
387.213063,89.03942929,929.3905702,73.75692556
387.3309356,89.06287651,929.6759033,73.78150902
387.4289818,89.08309885,929.9112142,73.80644396
387.5464606,89.10829128,930.1931633,73.82725417
387.6493264,89.13113659,930.4400412,73.84844929
387.7660085,89.15006937,930.7200782,73.86684178
387.8728853,89.1670239,930.9765826,73.88900547
387.9815177,89.18673451,931.2348996,73.90834939
388.0925213,89.20999093,931.503709,73.92883453
388.1963781,89.23131637,931.7529653,73.94982543
388.3079129,89.25530706,932.0206488,73.97438596
388.4123743,89.28018627,932.2713562,73.99954002
388.5416871,89.31358759,932.5817069,74.02016397
388.6489347,89.34265986,932.8391011,74.04098451
388.7748391,89.37815854,933.1412717,74.06177025
388.8917375,89.4106069,933.4218278,74.08220156
388.9915932,89.43970342,933.6614815,74.10262504
389.1130649,89.47593851,933.9530136,74.12350764
389.2219393,89.50611238,934.2143122,74.14370032
389.3218518,89.53310891,934.4541022,74.16392065
389.4332305,89.5635271,934.721411,74.185464
389.5618424,89.59765602,935.0300796,74.20542953
389.6747718,89.62716137,935.3011102,74.22647794
389.7716313,89.65038296,935.533573,74.2482524
389.882493,89.67531978,935.799641,74.26981157
389.9953809,89.69996485,936.070572,74.29078165
390.1080426,89.72068846,936.3409601,74.31088384
390.2227437,89.74178627,936.6138523,74.33205191
390.3352125,89.75883438,936.8861678,74.35325681
390.4529787,89.77108225,937.1688067,74.37396427
390.5748041,89.78379928,937.458786,74.39457794
390.6845689,89.79630523,937.7246232,74.41902211
390.7924682,89.80635119,937.9835815,74.43963137
390.8971585,89.81669644,938.2348382,74.46516768
391.0210888,89.83019372,938.532271,74.48599358
391.1238807,89.84148373,938.7789715,74.51023195
391.2391322,89.85266592,939.0555751,74.53456653
391.3528861,89.86386299,939.3285845,74.55550732
391.47582,89.87684257,939.6236258,74.57542481
391.5945091,89.89055424,939.9084797,74.59697705
391.7022386,89.90247053,940.1646288,74.61779423
391.8162282,89.91593284,940.4406055,74.6387965
391.9181904,89.93018394,940.6853148,74.65959491
392.0250395,89.94045544,940.9417526,74.68021026
392.1376896,89.95421696,941.2121129,74.70493326
392.2499352,89.97242957,941.4815023,74.72594887
392.3500931,89.99174707,941.7218813,74.74675209
392.461926,90.01366013,941.9902802,74.76718127
392.5744222,90.03855336,942.2602711,74.79182465
392.6924107,90.06664763,942.5434435,74.81220503
392.7889482,90.09110997,942.7751335,74.83322458
392.90374,90.12208297,943.0482262,74.85365002
393.0166433,90.15393104,943.3216018,74.87440644
393.1186702,90.1838809,943.5664663,74.89524797
393.242098,90.22132316,943.862693,74.91592853
393.3577687,90.25669882,944.1403027,74.93730891
393.4693574,90.29145232,944.4081156,74.95787864
393.5781253,90.32485032,944.6691586,74.97938911
393.6868436,90.35798666,944.9300825,75.00039296
